street,suburb,government_area,market,country,country_code,type,Latitude,Longitude,is_location_exact
"North Curl Curl, NSW, Australia",,Warringah,Sydney,Australia,AU,Point,-33.7639,151.30023,True
"Pāhoa, HI, United States",Island of Hawaiʻi,Puna,The Big Island,United States,US,Point,19.55948,-154.89644,True
"Epping, NSW, Australia",,Parramatta,Sydney,Australia,AU,Point,-33.78271,151.06361,False
"Honolulu, HI, United States",Honolulu,Primary Urban Center,Oahu,United States,US,Point,21.27494,-157.82312,True
"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52779,-73.60175,True
"Porto, Portugal, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.15001,-8.61402,False
"Barcelona, Catalunya, Spain",Sant Antoni,Sant Antoni,Barcelona,Spain,ES,Point,41.37766,2.16311,True
"Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.32129,114.17191,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14642,-8.602,True
"Leblon, Rio de Janeiro, Brazil",Leblon,Leblon,Rio De Janeiro,Brazil,BR,Point,-22.98667769766149,-43.22797132429346,True
"Montréal, QC, Canada",Old Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.50909,-73.55165,False
"BARCELONA, city, Spain",Sant Antoni,Sant Antoni,Barcelona,Spain,ES,Point,41.38186,2.1586,False
"Surry Hills, NSW, Australia",Surry Hills,Sydney,Sydney,Australia,AU,Point,-33.88587,151.21391,False
"Kealakekua, HI, United States",Island of Hawaiʻi,South Kona,The Big Island,United States,US,Point,19.51331,-155.92696,True
"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52697,-73.59643,True
"Hilo, HI, United States",Hilo,South Hilo,The Big Island,United States,US,Point,19.73638,-155.01192,True
"Tsim Sha Tsui, Kowloon, Hong Kong",Tsim Sha Tsui,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.29736,114.17119,False
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14956,-8.60262,False
"Hong Kong, Hong Kong, Hong Kong",,North,Hong Kong,Hong Kong,HK,Point,22.5294,114.20649,False
"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.976698329213754,-43.190461301652356,True
"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,Wan Chai,Hong Kong,Hong Kong,HK,Point,22.27722,114.17773,True
"Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.32547,114.16203,True
"Barcelona, CT, Spain",El Raval,el Raval,Barcelona,Spain,ES,Point,41.37868,2.1708,False
"Rio De Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.964594415650225,-43.17539500582481,True
"Volcano, HI, United States",Island of Hawaiʻi,Puna,The Big Island,United States,US,Point,19.43833,-155.17568,False
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14921,-8.6189,True
"New Territories, New Territories, Hong Kong",,Islands,Hong Kong,Hong Kong,HK,Point,22.20542,114.12535,False
"İstanbul, İstanbul, Turkey",Taksim,Sisli,Istanbul,Turkey,TR,Point,41.04191,28.98318,False
"Barcelona, CT, Spain",Ciutat Vella,el Raval,Barcelona,Spain,ES,Point,41.37609,2.17344,False
"Hong Kong, Hong Kong Island, Hong Kong",Sheung Wan,Central & Western,Hong Kong,Hong Kong,HK,Point,22.28614,114.14681,True
"Haleiwa, HI, United States",Oʻahu,North Shore Oahu,Oahu,United States,US,Point,21.67985,-158.037,False
"Seaforth, NSW, Australia",Seaforth,Manly,Sydney,Australia,AU,Point,-33.79395,151.24974,False
"Porto, Porto District, Portugal",,"Aldoar, Foz do Douro e Nevogilde",Porto,Portugal,PT,Point,41.1648,-8.66375,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.15428,-8.61039,True
"Glebe, NSW, Australia",Glebe,Sydney,Sydney,Australia,AU,Point,-33.87952,151.1915,True
"Surry Hills, NSW, Australia",Surry Hills,Sydney,Sydney,Australia,AU,Point,-33.88709,151.20861,True
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.14636,-8.60224,True
"Jacarepagua, Rio de Janeiro, Brazil",Barra da Tijuca,Jacarepaguá,Rio De Janeiro,Brazil,BR,Point,-22.97404368109086,-43.413896463087376,True
"Osmanbey, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,Point,41.0531,28.9773,False
"Rio de Janeiro, Rio de Janeiro, Brazil",Santa Teresa,Santa Teresa,Rio De Janeiro,Brazil,BR,Point,-22.916146943684616,-43.19306782705259,False
"Barcelona, Catalunya, Spain",Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,Point,41.39228,2.16187,True
"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,Porto,Portugal,PT,Point,41.12074,-8.63152,True
"Rio, Rio de Janeiro, Brazil",Irajá,Irajá,Rio De Janeiro,Brazil,BR,Point,-22.85196551436599,-43.32314337963672,True
"Porto, Porto, Portugal",,Lordelo do Ouro e Massarelos,Porto,Portugal,PT,Point,41.15288,-8.6483,True
"Maunaloa, HI, United States",Molokaʻi,Molokai,Other (Domestic),United States,US,Point,21.18543,-157.24535,False
"Montréal, QC, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.49798,-73.57628,False
"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.16204,-8.62508,False
"Montréal, Québec, Canada",Downtown Montreal,Ville-Marie,Montreal,Canada,CA,Point,45.49706,-73.57121,True
"Barcelona, Cataluña, Spain",El Bon Pastor,el Bon Pastor,Barcelona,Spain,ES,Point,41.43574,2.20417,True
"Montréal, Québec, Canada",Saint-Henri,Le Sud-Ouest,Montreal,Canada,CA,Point,45.4846,-73.58178,True
"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.98359323820537,-43.18981895850035,False
"Honolulu, HI, United States",Oʻahu,East Honolulu,Oahu,United States,US,Point,21.29196,-157.7238,True
"North Ryde, NSW, Australia",,Ryde,Sydney,Australia,AU,Point,-33.78679,151.12484,True
"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.52178,-73.59295,True
"Barcelona, Catalunya, Spain",Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,Point,41.40502,2.16011,False
"Glebe, NSW, Australia",Glebe,Sydney,Sydney,Australia,AU,Point,-33.87329,151.18243,True
"Montréal, Québec, Canada",Le Sud-Ouest,Le Sud-Ouest,Montreal,Canada,CA,Point,45.48032,-73.58023,True
"Barcelona, Spain",El Poblenou,el Poblenou,Barcelona,Spain,ES,Point,41.39763,2.20727,False
"Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,Point,22.3191,114.16954,True
"Montréal, Québec, Canada",Cote-des-Neiges-Notre-Dame-de-Grace,Côte-des-Neiges-Notre-Dame-de-Grâce,Montreal,Canada,CA,Point,45.47588,-73.60512,True
"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,45.5075,-73.57394,True
"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.970608091218523,-43.18414288760948,True
"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.96905050322832,-43.1854607821627,True
"Warriewood, NSW, Australia",,Pittwater,Sydney,Australia,AU,Point,-33.69212,151.30397,False
"Barcelona, Catalunya, Spain",El Raval,el Raval,Barcelona,Spain,ES,Point,41.37539,2.17262,True
"Flamengo, Rio de Janeiro, Brazil",Flamengo,Flamengo,Rio De Janeiro,Brazil,BR,Point,-22.936782297663534,-43.17680548663649,False
"Barcelona, CT, Spain",Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,Point,41.4069,2.15076,False
"Hauula, HI, United States",Ko'olauloa,Koolauloa,Oahu,United States,US,Point,21.60677,-157.90846,True
"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai District,Wan Chai,Hong Kong,Hong Kong,HK,Point,22.27899,114.17232,True
"New York, NY, United States",Chelsea,Chelsea,New York,United States,US,Point,40.74935,-73.99723,True
"Copacabana, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-22.971424097325322,-43.19213713094674,True
"Üsküdar, İstanbul, Turkey",Üsküdar,Uskudar,Istanbul,Turkey,TR,Point,41.01955,29.03115,True
"Barcelona, Catalunya, Spain",Eixample,l'Antiga Esquerra de l'Eixample,Barcelona,Spain,ES,Point,41.38308,2.15819,True
"Rio, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,Point,-22.981579889918926,-43.20292557199069,True
"Porto, Grande Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,Point,41.16199,-8.61193,True
"Istanbul, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,Point,41.03676,28.98306,False
"Hong Kong, Kowloon, Hong Kong",Kowloon City,Kowloon City,Hong Kong,Hong Kong,HK,Point,22.31888,114.17526,False
